100	?aata、najuN	⓪、⓪	句			疲れてくたくたになる。疲れてぐにゃぐにゃになる。のびる。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
121	?ara?icenu、'juru	⓪、⓪	句	文		初めて会う夜。初夜。satume ?uturusjaja～ju,?aNma ?uturusjaja ?asaN'jusaN.[里前おとろしややあら行逢の夜よあんまおとろしやや朝もよさも]男のかたが恐ろしいのは初めての夜だが,かかえ親は年中恐ろしい。女郎のよんだ歌とみえる。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
125	?aSibi?●unasa	①	名			遊ぶために忙しいこと。					
128	?atunaisaci●nai	⓪	副			1.あとになったり,先になったり。	2.相前後して。～'ja-matuNkai caN.相前後して日本に来た。				
134	b●tata=juN	①	自=raN,=ti			しなびる。生気が衰えてしぼむ。植物･人間などにいう。					
135	boozi●ri	⓪	名			棒切れ。buNziriともいう。					
141	caaNkaaN、naraN	①、⓪	句			どうもこうもならない。どうしよらもない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
145	cicicakuN、neeN	①、⓪	句			聞きたくもない。聞き苦しい。聞くにたえない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
150	ci＝juN	①	他=raN,=ci			着る。ciN～.着物を着る。					
150	Ci＝juN	①	自=raN,=ti			1.ひきつける。小児が高熱でけいれんを起こす。	2.手足の筋などがつる。				
150	Ci＝juN	①	他=raN,＝ti			釣る。?iju～.魚を釣る。					
150	cikaju＝juN	⓪	自=raN,=ti			近寄る。					
151	Ciki=●uN	⓪	他=raN,=ti			1.付ける。duru～.泥を付ける。	2.着ける。huni～.船を着ける。（着物には言わない）	3.（燈火などを）つける。hwii～.イ.燈火をつける。火をともす。ロ.火をつける。roo～.ろうそくをつける。tee～.たいまつをともす。	4.種付けをする。交尾させる。?waa～.豚を交尾させる。		
158	ciNbeeru、?akakoozi	①、①	句			あかんべえ。べっかんこ。下まぶたを指で引き,赤い裏を見せ,侮辱の意をこめて拒絶の意を表わすこと。beeruは侮辱的な拒絶の意を表わす語。?akakooziは食紅用の麴。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
167	coozanu、?uhusjuu	⓪、①	句			[長者之大主]踊りの名。村芝居で最初に出る踊りで,福禄寿の三徳を兼備した人間最高の理想的人物を表わしたもの。また,その人物。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
174	danuN、naraN	⓪、⓪	句			段違いである。比べものにならない。想像もできない。～Qcu.段違いの人。～'waZa.言語に絶するわざ。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
176	dijoocaru、munuja	⓪、⓪	句	文		[出様来る者や]出て来た者は。まかりいでたる者は。組踊りの用語。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
224	hutakacanu、miju	①、①	句	文		太平の御世の意か。古琉球（伊波普猷）には島津氏と中国の両国に属していた苦難の時代をいうとされているが,古歌に,mirukujuja minume hwicijuSiti 'uSiga,hutakacanu nunuja ?utami 'warabi.[弥勒世や目の前ひきよせて居すがふたかちやの布や織ためわらべ]（豊年は目前に迫っているが,フタカチャの布は織ったか,わらべよ。）とあるのを見ると,hutakacaは二つの蚊帳という意ではなく,管弦の遊びをする時,舞台に使う幕の類かとも思われる。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
238	hwiQtiN、neeN	⓪、⓪	句			（子供が一人で遊び）世話が要らない。?anu 'warabee～.あの子は世話がやけない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
264	iiCibiN、CikaN	①、⓪	句			尻が落ち着かない。席の暖まる暇もない。すわった尻が付かない意。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
266	'ii］?Nmanukura	⓪	名			いい馬の鞍の意。罪･責任を転嫁させるかっこうな相手。?ariga 'waNnee～Ndi ?umutooru gutooN.彼がわたしをいい馬の鞍だと思っているらしい。					
269	?juuniN、?ujubaN	①、⓪	句			言うに及ばぬ。言うまでもない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
272	jaati、sjuN	⓪、①	句			人の家にわが家のように出入りし,入りびたる。'jaatee saraN.入りびたるわけにはいかない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
286	'jugeenee、kanaaN	①、⓪	句			1.力が弱い。無力である。力がない。～muN.力のない者。	2.力もないくせに。～meenainaiQsi,hwiQkudoori.力もないくせにでしゃばって,引っこんでいろ。				1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
303	kakiniN、?ooraN	⓪、⓪	句			お話にならない。とてつもない。～magii 'jaN.とてつもなく大きいのだ。～'jaQsaN.お話にならないほど安い。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
304	kama、sikajuN	⓪、⓪	句			男女･夫婦などが,仲よくしっくり行く。nootaru kamadu sikajuru.相応の者が夫婦となる。kama sikati taija ?anujumadiN.〔文〕仲よくふたりはあの世までも。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
317	kazi、cicuN	⓪、⓪	句			cicuN（利く）の項参照。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
326	kucuusija、ZaNniN	⓪、①	句	文		[口惜しや残念]口惜しや残念。組踊り用語。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
346	kuuSee、neeN	⓪、⓪	句			（人が）如才ない。また,（商売などが）失敗のおそれがなく,安全である。たとえば文房具商は,商品が痛まないのでkuuSee neeN.のようにいう。?aree nuu simitiN～.彼は何をさせても如才ない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
347	kwaaNkwaaNnu、nanamakai	⓪、⓪	句			食べない食べないと言っておきながら,七杯も食べること。食わずぎらいで,食べてみれば大いに食べること。食べてみなければ好ききらいはわからないという場合にいう。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
347	kwaaNkwaaNnu、nanamakajaa	⓪、⓪	句			食べない食べないと言っておきながら,七杯も食べる者。食わずぎらいでいながら,食べてみて大いに食う者。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
350	kweeta]Nda、?ucuN	⓪、⓪	句			まるまると太っている。ぶくぶく太っている。-taNdaは｢たぶら｣に対応する。?ucuN（打つ）には特に意味はない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
372	miicakuN、neeN	⓪、⓪	句			みっともない。見苦しい。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
376	miiraNka、miiraNka	⓪、⓪	句			遠方にあってかすかに見えるもののさま。～sjooN.かすかに見えている。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
376	miisagee、neeraN	⓪、⓪	句			ひっきりなしに。絶え間なく。～Qcunu tuujuN.ひっきりなしに人が通る。～sjuumaNboosjuunu ?aminu huiCiZicuNnee 'juNtaku sjuN.ひっきりなしにつゆの雨が降り続くようにおしゃべりを続ける。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
376	miitooN、neeN	⓪、⓪	句			みっともない。見苦しい。miicakuN neeNと同じ。～kutoo saN muN dee.みっともないことはしないことだよ。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
427	nuu]doo、kwii]doo	⓪、⓪	句			何だかだ。～Ndi ?juru baaja ?weekanu ?uhooku 'uSee masi.何かという場合には親戚が多くいるのがよい。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
428	nuu]nu、kwii]nu	⓪、⓪	句			何のかの。～Ndi ?ici kuuNtaN.何のかのと言って来なかった。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
428	nuu]sabiN、neeN	⓪、⓪	句			何のさしさわりもない。いっこうさしつかえない。maakara ?aQciN～.どんな所へ出ても,いっこうさしさわりない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
435	-Ndi］ru		助			という。-Ndi ?juru（という）の略。					
435	-Ndi］sa		助			とさ。ということだ。-Ndi ?jusa（と言うよ）の略。'juuriinu ?NzitaNdisa.幽霊が出たとさ。					
435	'Nkasiba］nasi	⓪	名			昔話。					
435	'Nkasigu］tu	⓪	名			昔の事。					
435	'Nkasihu］uzi	⓪	名			昔風。昔流。					
435	'Nkasimunuga］tai	⓪	名			物語。昔話。					
435	'Nkasi］Ncu	⓪	名			昔の人。古人･老人･故人など。～nu ?ikutuba.昔の人のことば。格言。					
435	'Nkasi］?uta	⓪	名			昔の歌。古歌。					
436	'NmoogaQ］kui	⓪	名			子供の遊戯の名。ごっつんこ。額と額とを突き合わせること。					
