"辞書
ページ"	見出し語	アクセント型	品詞	"文語などの
種別"	補足	意味 1.	意味 2.	意味 3.	意味 4.	意味 5.	備考
99	?aa	①	感			ああ。物事に深く感じた時発する声。					
99	?aa	⓪	名			泡。?aabukuともいう。～nutacuN.泡が立つ。					
99	?aa	⓪	名			安和。（（地））参照。					
99	?aa?aa	①	感･副			ああああ。ため息をつくさま。～sjuN.ああああと嘆息する。					
99	?aabaasaabaa	⓪	副			ぺちゃくちゃ。とりとめもなくしゃべるさま。～munu 'junuN.ぺちゃくちゃしゃべる。					
99	?aabuku	⓪	名			泡。あぶく。					
99	?aaci	⓪	助詞的に用いられる			同時に。＜?aasjuN（合わせる）。?ieuSitu～.行くのと同時に。?juSitu～.言うのと同時に。					
99	?aacirahja]acira	⓪	副			ぺちゃくちゃ。べらべら。とりとめもなくしゃべるさま。～munu'junuN.ぺちゃくちゃしゃべる。					
99	?aaguuru	⓪	名			かくれんぼ（kwaQkwi-Ndooree）で,隠れた者を捜し出せずに鬼が降参すること。また,その降参する時に言うことば。鬼が?aaguuruと叫ぶと,隠れた子供たちが現われ,鬼にお辞儀をさせてから,やり直す。					
99	?aahjaNgaree	⓪	感			短気を起こした時などに発する声。ちくしょう。					
99	?aa=juN	⓪	自 =raN,=ti			合う。計算が合う･時計が合うなどの意では,新しくは?atajuNを多く用いるようになった。?unu hujaa ?jaahwisjatu ?aajumi.その靴はおまえの足に合うか。saNminoo?aatoomi.計算は合っているか。					
99	?aaka=sjuN	⓪	他 =saN,=ci			割る。裂く。離す。また,割れ目を入れる。					
99	?aakeeZuu	⓪	名			とんぼ。					
99	?aaki	⓪	名			裂け目。割れ目。ひび。すき間。hasirunu ～kara suumi sjuN.雨戸のすき間からのぞき見する。hwiiraajahaajanu ～nakaiN'uN.ごきぶりは柱の割れ目にもいる。					
99	?aakii	⓪	名			組踊り用語。愁嘆場。親子兄弟の別離･再会などで,感情が高まる場面。?aki ?icaga najura.（ああ,どうなることか）,?aki ?imiga 'jajura.（ああ夢ではないか）などの?akiを,地謡が長く引き延ばして歌うのでこういう。					
