"辞書
ページ"	見出し	見出しの漢字	見出しの説明	内容
615	ああ		(感動)	?aa，?akijo，?aQkijoo，haa
615	ああ		(返事)	hii，hNN，?ii，?NN
615	ああ		(副)	?aN/～言いこう言い ?aN?iikaN?ii/ ～思いこう思い ?aN?umiikaN?umii/ ～かこうか ?aNsawaNkaNsawaN/ ～したりこうしたり ?aNsiikaNsii/ ～なったりこうなったり ?aNnaikaNnai/ ～持ったりこう持ったり，～やったりこうやったり mucikeekamikee
615	ああああ			?aa?aa
615	ああん			hau/ ～と口をあける haumikasjuN
615	あい	〔藍〕		?ee/～を入れるかご ?eediiru/～を入れるつぼ ?eeCibu
615	あいいく	〔愛育〕		nadisudati
615	あいいろ	〔藍色〕		?ee?iru/ ～の型付け染め?eegata，?ee?uburuu/ ～のしぼり染め?eesibui/ ～のもの ?ee?iruu
615	あいこ	〔相子〕		'iinuu
615	あいさつ	〔挨拶〕		?eesaCi/ ～上手 kanamizoozi/ ～の表現 →?aQcuN，cibajuN，cuu，guburii，hazimiti，kanami，?ubukui，?ubukuiganasii，?ubukuNzanasii，?ubukuNzaNsii，?waaCici/ ～もなく?aNneenasiku，?aNneenasini/ ～を返さないこと bu?eesaCi
615	あいじ	〔愛児〕		kanasiNgwa，nasigwa
615	あいしょう	〔相性〕		?eesjoo
615	あいじょう	〔愛情〕		sinasaki，zooee，→なさけ/ ～のある人 zooeemuci
615	あいしる	〔藍汁〕		/～の泡 ?eenuhana
615	あいじん	〔愛人〕		'NZo，sama，satu，satumee，sjura，→こいびと，じょうふ
615	あいする	〔愛する〕		→kanasjaN/ 愛される→?uNtasjaN
615	あいぜんごして	〔相前後して〕		?atunaisacinai
615	あいそ	〔愛想〕		?eesoo/ ～がいい Qcu?uQsjagisaN/ ～のいい者 ?eesoomuci/ ～よく kanaganaatu
615	あいぞめ	〔藍染め〕		?eeZumii/～を業とする者 ?eesumijaa
615	あいた		(感動)	?aQkaa，?aQCaa
615	あいだ	〔間〕		?eeza，mii，tanaka，?weeda，?weema，→maadu，madu/ ～あいだに?weeda?weeda
615	あいたいする	〔相対する〕		→さしむかい/～さま taNkaamaNkaa
615	あいつ			?anihjaa，?anuhjaa
615	あいて	〔相手〕		?eeti
615	あいにく	〔合憎〕		buhjoosi，?irusigamaasi，katagata，mubaa
615	あいのり	〔相乗り〕		?ainuii/ ～の人力車?ainuiguruma，?ainuii
615	あいびき	〔逢引き〕		sinubi/～する sinubuN
615	あいぼう	〔相棒〕		guu，→なかま
615	あいぼれ	〔相惚れ〕		?eenuZumi
615	あいま	〔合間〕		madu，→あいだ/ ～あいまに ?weeda?weeda
615	あいらしい	〔愛らしい〕		?eeraasjaN，kanasjaN，'NZoosaN，sjurasjaN，sjuuraasjaN，→かわいい
615	あいろう	〔藍蠟〕		?eeroo
615	あう	〔合う〕		?aajuN，?atajuN，?icaajuN，?icajuN，'jucaajuN，SinajuN
615	あう	〔会う〕		?icaajuN，?icajuN，(敬語)'uganuN/ 会いそこなう ?iceehaNsjuN/ 会いにくい人 ?iceegurii/ ～が早いか'Nkeehana，'NkeeZira/ ～こと ?icee，(敬語)?wiicee/ 会えないこと ?iceekaNtii
615	あえぐ	〔喘ぐ〕		/ ～さま hweehwee，siisii
615	あえもの	〔和え物〕		?uSee
615	あえる	〔和える〕		?eejuN
615	あお	〔青〕		miZi?iru，miZiiru，?ooruu
615	あおあおと	〔青青と〕		?ooQteeN
616	あおい	〔青い〕		?oosaN/ 青くなった者 ?irunugaa/ 青くなる →?irusjumoosju/ 青くなるさま ?irusoomoosoo
616	あおがえる	〔青蛙〕		?ataku，'uu?ataku
